language,voice,gender
af-ZA,af-ZA-AdriNeural,female
af-ZA,af-ZA-WillemNeural,male
am-ET,am-ET-MekdesNeural,female
am-ET,am-ET-AmehaNeural,male
ar-AE,ar-AE-FatimaNeural,female
ar-AE,ar-AE-HamdanNeural,male
ar-AE,Aria,female
ar-AE,Roger,male
ar-AE,Finn,male
ar-AE,Laura,female
ar-AE,River,female
ar-AE,Will,female
ar-AE,Jessica,female
ar-AE,Eric,female
ar-BH,ar-BH-AliNeural,male
ar-BH,ar-BH-LailaNeural,female
ar-DZ,ar-DZ-AminaNeural,female
ar-DZ,ar-DZ-IsmaelNeural,male
ar-EG,ar-EG-SalmaNeural,female
ar-EG,ar-EG-ShakirNeural,male
ar-IQ,ar-IQ-BasselNeural,male
ar-IQ,ar-IQ-RanaNeural,female
ar-JO,ar-JO-SanaNeural,female
ar-JO,ar-JO-TaimNeural,male
ar-KW,ar-KW-FahedNeural,male
ar-KW,ar-KW-NouraNeural,female
ar-LY,ar-LY-ImanNeural,female
ar-LY,ar-LY-OmarNeural,male
ar-MA,ar-MA-JamalNeural,male
ar-MA,ar-MA-MounaNeural,female
ar-QA,ar-QA-AmalNeural,female
ar-QA,ar-QA-MoazNeural,male
ar-SA,ar-SA-HamedNeural,male
ar-SA,ar-SA-ZariyahNeural,female
ar-SA,Aria,female
ar-SA,Roger,male
ar-SA,Finn,male
ar-SA,Laura,female
ar-SA,River,female
ar-SA,Will,female
ar-SA,Jessica,female
ar-SA,Eric,female
ar-SY,ar-SY-AmanyNeural,female
ar-SY,ar-SY-LaithNeural,male
ar-TN,ar-TN-HediNeural,male
ar-TN,ar-TN-ReemNeural,female
ar-YE,ar-YE-MaryamNeural,female
ar-YE,ar-YE-SalehNeural,male
bg-BG,bg-BG-BorislavNeural,male
bg-BG,bg-BG-KalinaNeural,female
bg-BG,Aria,female
bg-BG,Roger,male
bg-BG,Finn,male
bg-BG,Laura,female
bg-BG,River,female
bg-BG,Will,female
bg-BG,Jessica,female
bg-BG,Eric,female
bn-BD,bn-BD-NabanitaNeural,female
bn-BD,bn-BD-PradeepNeural,male
bn-IN,bn-IN-BashkarNeural,male
bn-IN,bn-IN-TanishaaNeural,female
ca-ES,ca-ES-EnricNeural,male
ca-ES,ca-ES-JoanaNeural,female
cs-CZ,cs-CZ-AntoninNeural,male
cs-CZ,cs-CZ-VlastaNeural,female
cs-CZ,Aria,female
cs-CZ,Roger,male
