code,name,nativeName,dir
"af","Afrikaans","Afrikaans","ltr"
"am","Amharic","አማርኛ","ltr"
"ar","Arabic","العربية","rtl"
"as","Assamese","অসমীয়া","ltr"
"az","Azerbaijani","Azərbaycan","ltr"
"ba","Bashkir","Bashkir","ltr"
"be","Belarusian","беларуская","ltr"
"bg","Bulgarian","Български","ltr"
"bho","Bhojpuri","भोजपुरी","ltr"
"bn","Bangla","বাংলা","ltr"
"bo","Tibetan","བོད་སྐད་","ltr"
"brx","Bodo","बड़ो","ltr"
"bs","Bosnian","Bosanski","ltr"
"ca","Catalan","Català","ltr"
"cs","Czech","Čeština","ltr"
"cy","Welsh","Cymraeg","ltr"
"da","Danish","Dansk","ltr"
"de","German","Deutsch","ltr"
"doi","Dogri","डोगरी","ltr"
"dsb","Lower Sorbian","Dolnoserbšćina","ltr"
"dv","Divehi","ދިވެހިބަސް","rtl"
"el","Greek","Ελληνικά","ltr"
"en","English","English","ltr"
"es","Spanish","Español","ltr"
"et","Estonian","Eesti","ltr"
"eu","Basque","Euskara","ltr"
"fa","Persian","فارسی","rtl"
"fi","Finnish","Suomi","ltr"
"fil","Filipino","Filipino","ltr"
"fj","Fijian","Na Vosa Vakaviti","ltr"
"fo","Faroese","Føroyskt","ltr"
"fr","French","Français","ltr"
"fr-CA","French (Canada)","Français (Canada)","ltr"
"ga","Irish","Gaeilge","ltr"
"gl","Galician","Galego","ltr"
"gom","Konkani","कोंकणी","ltr"
"gu","Gujarati","ગુજરાતી","ltr"
"ha","Hausa","Hausa","ltr"
"he","Hebrew","עברית","rtl"
"hi","Hindi","हिन्दी","ltr"
"hne","Chhattisgarhi","छत्तीसगढ़ी","ltr"
"hr","Croatian","Hrvatski","ltr"
"hsb","Upper Sorbian","Hornjoserbšćina","ltr"
"ht","Haitian Creole","Haitian Creole","ltr"
"hu","Hungarian","Magyar","ltr"
"hy","Armenian","Հայերեն","ltr"
"id","Indonesian","Indonesia","ltr"
"ig","Igbo","Ásụ̀sụ́ Ìgbò","ltr"
"ikt","Inuinnaqtun","Inuinnaqtun","ltr"
"is","Icelandic","Íslenska","ltr"
